,EARTH LINEAR ACCELERATION X,EARTH LINEAR ACCELERATION Y,EARTH LINEAR ACCELERATION Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,PITCH,ROLL,YAW
194,3.3800080675456314,1.6834942517707308,-19.184614281699034,-1.1685121318074316,-0.6391430163223647,19.50728346470862,6.174755725278154,175.979553402193,-136.78736009536357
195,3.1811845904210396,1.5835503036884662,-19.21570557374932,-0.9627879798941837,-0.6078113216333088,19.508319055283327,6.091384418484591,175.939094624532,-136.65745492001
196,3.3250305076205318,1.5473877101130271,-19.241239511515307,-1.043901176720755,-0.7138615831749558,19.54676972071912,6.11781842110027,175.99115196881888,-136.60647696635826
197,3.2081893224488622,1.630502613926543,-19.21196318108762,-1.0308258903277758,-0.6024227530058678,19.509613824590513,6.0409934274405535,175.9712125971005,-136.29812847276486
198,3.1785018408783667,1.6298940749995563,-19.17841775293096,-1.0201439649422464,-0.6077063562371904,19.472060379669742,5.978238932770841,175.94056191853662,-136.1666975094893
199,3.1575551715940406,1.6521181403136243,-19.18290877687507,-1.0406378041223063,-0.6089473071953065,19.473825877079605,5.873604281518052,175.93402569567985,-135.855870754409
200,3.1650545566073136,1.5819594770985026,-19.305134629986245,-0.9891136154797783,-0.6940221706416262,19.58949659122733,5.795981447756571,175.88477832374252,-135.7772444386985
201,3.1504942892081624,1.5474816551759722,-19.26936927163586,-0.9589830594622051,-0.6860792179831342,19.550922041285418,5.84400152762868,175.93119488039395,-135.81851598619832
202,3.2077894924497077,1.5423038648748195,-19.224608788372016,-0.9989379423135822,-0.7273547170892296,19.51223400352618,5.853678407080254,175.9136469599118,-136.1060483332146
203,3.2178902095125683,1.5355015792660274,-19.22341063013314,-1.004222941484263,-0.7208961330685156,19.51214862090397,5.8847189618375,175.95144925407573,-136.21350981178475
204,3.2381337972969444,1.6949577985369682,-19.286909229118297,-1.1247313934511904,-0.5969046181421198,19.58882191990352,5.9175338151192465,176.00461551431152,-136.23047333532602
205,3.221300403172552,1.5525656158423182,-19.25880760405993,-1.017554560544643,-0.6671149324134703,19.550152096401646,5.9630277091034145,176.04199569339679,-136.3569908797716
206,3.185748604172974,1.5494606733591643,-19.261480642529236,-0.9875708162012075,-0.6221935801671358,19.54973243094625,6.0119247649225285,176.0805898651214,-136.4611591525133
207,3.2298172785303203,1.5186058434034786,-19.257577548829627,-0.9946446898703759,-0.6576546325490374,19.549177699706412,6.053484334729096,176.09705011833782,-136.66281451342516
208,3.2719426866674075,1.5439734825209108,-19.2501802909526,-1.03786782135267,-0.6581311545206859,19.54862138521778,6.082367548228707,176.09403426097415,-136.877437366401
209,3.286280574407402,1.5937637187908726,-19.24432567765981,-1.0807464413890766,-0.6183309692159411,19.54823387252239,6.109227989890373,176.10263127448198,-137.13219317911458
210,3.256325471659645,1.5956856802082424,-19.24969779393961,-1.068606556447701,-0.6236291908208135,19.54916622736831,6.037899804581398,176.07194780560764,-136.9731146729592
211,3.2650185969570353,1.5710216368009458,-19.251709359872066,-1.0604879414264547,-0.6688434824299448,19.54954685973201,5.990203934429883,176.03161991585557,-136.96127268645046
212,3.292191299227432,1.575935961948018,-19.402164705596174,-1.0648951086486858,-0.66620708037767,19.70249373819422,6.016094983670472,176.04695671154002,-137.20440667025665
213,3.265757031270216,1.553073432072575,-19.406288944568562,-1.0259431213775072,-0.6705631886828108,19.702259829635437,6.01230709244616,176.0213313408359,-137.30582622085606
214,3.218391815876138,1.5999273771070246,-19.290952568510228,-1.0320029869522833,-0.5925284543579702,19.586795152824877,6.047909113464617,176.02943437414288,-137.50240124939023
215,3.2793275418764196,1.5506907081368264,-19.36488516083556,-1.0310891654061427,-0.6741420124206837,19.663158336636357,6.042540215282886,176.00003197666538,-137.6633253516505
216,3.2741092955605744,1.4871937282300625,-19.21427607365766,-0.9976300665630532,-0.7125511852306978,19.509406627522324,6.0710246180195435,175.99922017990724,-137.7660687619955
217,3.2704196419397626,1.4717723631953283,-19.021312477734348,-1.0042417121226193,-0.7101523053790998,19.31733079868596,6.109872718226851,176.01306020334775,-137.93182638266762
218,3.189320906551121,1.5049493321959655,-19.027700293423237,-0.9634510853731612,-0.6399217623809419,19.317149917570774,6.095280653658695,175.975566751788,-138.16427446489845
219,3.266089378305882,1.6243960151671661,-19.243295786833546,-1.0739990296683326,-0.6068901857899582,19.54708789992521,6.069582244341583,175.94468522335254,-138.38918731579489
220,3.2561326371836845,1.5104798571042488,-19.21377762443949,-0.9969443186048491,-0.6850972197143881,19.508714554685636,6.0669955237542155,175.93532404637858,-138.63015017899335
221,3.2161339144025245,1.5332548338662078,-19.21781386605002,-0.99293128269776,-0.6414203645447424,19.509521391230386,6.043417638913699,175.96712831920098,-138.48273799780168
222,3.2612194427166585,1.5578549803324533,-19.209953206448485,-1.037321974453575,-0.6406351105781175,19.5089291444623,6.079160368971714,175.97148599112796,-138.64744522191518
223,3.295259739741785,1.5228403803532555,-19.130141447632187,-1.0436665175575632,-0.6778964989785666,19.43170882654468,6.116439563691391,175.97736604075234,-138.81366466377924
224,3.282746496097746,1.4991797711753958,-19.131757258207703,-1.0109172516729956,-0.6789405919139503,19.431036676251942,6.149099101685304,175.97096861719214,-138.97998194437835
225,3.3368223923630933,1.5291772869716156,-19.238637193600532,-1.0541568162770771,-0.6774295126468897,19.54553070607823,6.17808405237133,175.97965021166164,-139.17314162951178
226,3.356716791198476,1.5376560801619632,-19.312053938826185,-1.0576645179178457,-0.6801471950391592,19.621572483721145,6.198698073502745,175.9634819954548,-139.2832483380814
227,3.453981835230081,1.6119544908931154,-19.295237597956998,-1.1756798682860328,-0.682350896074533,19.62107937556842,6.216879590647482,175.95035873749092,-139.47400842289775
228,3.323623085443463,1.5920583723238302,-19.23241791756077,-1.0657346969371004,-0.6060599786707438,19.54389725946925,6.246127873058274,175.94822630630756,-139.60134987403634
229,3.3780820136526817,1.5302805203663512,-19.15235967401801,-1.0705132404229125,-0.683108761724446,19.466726521597366,6.2742142005287045,175.9454487740837,-139.66138783435483
230,3.4283450427015603,1.5575756458104588,-19.182095665563267,-1.1158394547598598,-0.6798214549602711,19.504490017625074,6.315471691521869,175.9644979240774,-139.67573173572836
