,EARTH LINEAR ACCELERATION X,EARTH LINEAR ACCELERATION Y,EARTH LINEAR ACCELERATION Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,PITCH,ROLL,YAW
0,-4.242797674033595,0.9214877331982497,-1.975042605316729,-4.634890839005151,-0.42939214133339476,1.0414769980672958,14.549778966220787,157.59406101224818,4.073018054326123
1,-2.289376580372992,0.4620371637282968,-1.3202429246154286,-2.5170930894011194,-0.10704019662836073,0.9222524724924375,11.269379882080925,157.51082371796414,4.211603301797489
2,0.8200996650979379,0.2760848079094828,-0.44344000318714777,0.7564298002402354,-0.04030207136657049,0.6096023446730374,6.859101431126833,157.49359042394536,3.416904081058895
3,4.085974994877534,1.3113647624370173,-0.37511069777516537,4.117934343702371,-0.8402944213227848,0.9445100639811415,1.5271158608348863,158.16641626596297,3.326004531187458
4,7.27446457641943,1.774314922762342,-0.8036342842932593,7.412172037466721,-0.9832131138069746,0.897136579035875,-3.8463532695717877,158.9108362698215,2.972886494691154
5,9.322012654393715,3.816722708440586,-1.5886872279558824,9.820031387012646,-2.4424439653139554,1.2620104216925867,-8.995938176276686,160.83716974352777,3.775371713428653
6,9.21811716662053,4.518108012965353,-0.4321013923071345,9.55033594737701,-3.6052179598341714,1.1692657875467267,-5.152141103576493,159.24490606249424,2.8264905593226297
7,7.596750721816713,4.367814276984233,1.1529984442003363,7.669736580186827,-4.367747240449278,0.4644925554519066,-1.5436908207500286,156.69122728636097,0.7484745049162043
8,5.276514112627264,4.339377973716795,2.0712471247115407,5.106052907828494,-4.982673562303624,0.2511073577888041,1.5731102154822805,153.2175011576504,-1.9376533591180152
9,4.273355359639116,3.221474855475536,1.3760032970405829,4.260169250644735,-3.519008228935343,0.019758244619890064,-0.6469600573290561,155.75848017642332,-0.22328932940298166
10,4.128996679964897,1.5881667201818368,0.5490904813521096,4.1750318424804815,-1.5615028838560514,-0.05661562460160319,-2.3883395725039382,156.9848291123289,1.5856216218106012
11,5.7033191589125405,-0.5883441035256557,-0.25354330066214076,5.631957073919272,1.0243275247989607,-0.4124258204244988,-4.189172270621986,157.06330567349139,3.8824709842246024
12,7.446355565616267,-1.4386707873853974,-0.7968314700558876,7.192055902624788,2.4628370578141765,-0.6014073128164217,-5.925160217033954,156.88860585777627,6.475778232179604
13,7.6817706333817375,4.180009839783604,-10.047979064514996,9.356281357845834,2.2869646959123546,9.201834449607453,-11.017358166421415,154.6616152724447,10.627085324695692
14,11.09648316561287,1.9687123205715609,-2.0771411878030883,11.34023956764905,1.6334229718775317,0.2306042133998396,-12.570021136354807,155.25201842438474,12.793834503955134
15,10.28993066085314,4.335151209067671,-2.277145922522099,11.329258030450159,-0.3185050739516795,1.1866210686032241,-14.114270634552641,156.6115899411803,14.132172458615363
16,7.779992197006518,7.249281318663328,0.2329874311056337,9.499287543286076,-4.433200564356147,1.8013634535592633,-6.877758193630742,155.8537718863639,14.783165754891876
17,2.7969875103648785,10.23259174919708,2.7028869823356088,5.430357924667932,-9.175113772996273,2.4825734915049056,0.7972295444240892,151.85265365020044,15.601305827523401
18,-3.973316670328023,12.022819680071738,2.112862215146543,0.35103536835883187,-12.508059053072149,2.867901333282206,12.213093030015614,151.9234807919881,23.60078742732112
19,-7.668415145987118,14.164720807370259,4.073111324823313,-4.141548495335234,-15.775798958934367,3.1632081079859953,6.602276674399134,147.91937585533452,15.009008475104974
20,-7.701036036130888,14.285186446127566,6.168160037439457,-6.0093398191059375,-16.03861957411476,2.8406378109869914,-0.4046005590177972,146.3303324139809,6.105706131922558
21,-6.671930706392688,12.480041871706069,7.327544882635076,-6.9075976262759236,-14.208916173510321,2.085860658121219,-7.713216891587478,144.81976829036253,-1.8299498843202662
